Year,Month,Chamber,CO2,Nitrogen,Treatment,Depth,SampleID,SO4,Cl,Salinity
2005,November,5,1,1,4,20,L5-20,7.265782907,163.8314245,10.49476397
2005,November,5,1,1,4,40,L5-40,5.613100437,134.6899013,8.628011899
2005,November,5,1,1,4,80,L5-80,3.649220212,118.1923836,7.57121144
2005,November,6,0,0,1,20,L6-20,6.159107923,153.0592948,9.804721264
2005,November,6,0,0,1,40,L6-40,5.043543356,141.7938223,9.083075937
2005,November,6,0,0,1,80,L6-80,2.958047411,119.3790691,7.647228316
2005,November,7,0,0,1,20,L7-20,10.21862133,186.0904372,11.92063514
2005,November,7,0,0,1,40,L7-40,4.764472863,130.3640903,8.350908449
2005,November,7,0,0,1,80,L7-80,3.643855271,121.3756841,7.775127776
2005,November,8,1,0,3,20,L8-20,6.634310667,162.0520169,10.38077841
2005,November,8,1,0,3,40,L8-40,6.194666251,137.1242595,8.783952385
2005,November,8,1,0,3,80,L8-80,3.500311915,120.5666855,7.723304823
2005,November,9,1,0,3,20,L9-20,8.208796007,171.6287447,10.99424587
2005,November,9,1,0,3,40,L9-40,9.157018091,180.3459238,11.55265224
2005,November,9,1,0,3,80,L9-80,4.669588272,132.1603385,8.465972788
2005,November,10,0,1,2,20,L10-20,10.34157829,184.021354,11.7880935
2005,November,10,0,1,2,40,L10-40,7.324454148,150.4445134,9.637223206
2005,November,10,0,1,2,80,L10-80,5.268434186,135.4240056,8.675037267
2005,November,11,0,1,2,20,L11-20,8.909201497,177.6584767,11.38049935
2005,November,11,0,1,2,40,L11-40,3.547504679,94.01117066,6.022207672
2005,November,11,0,1,2,80,L11-80,4.281628197,136.8812976,8.768388694
2005,November,12,1,1,4,20,L12-20,6.352963194,159.0750071,10.19007666
2005,November,12,1,1,4,40,L12-40,5.148845914,115.1940762,7.37914541
2005,November,12,1,1,4,80,L12-80,3.905926388,112.3883498,7.199415769
2005,November,13,1,0,3,20,L13-20,8.726918278,183.4124401,11.7490876
2005,November,13,1,0,3,40,L13-40,5.047161572,129.9004231,8.32120679
2005,November,13,1,0,3,80,L13-80,2.538459139,101.9380536,6.529989128
2005,November,14,0,1,2,20,L14-20,5.620118528,152.350268,9.759302319
2005,November,14,0,1,2,40,L14-40,1.536244541,101.0653879,6.474087776
2005,November,14,0,1,2,80,L14-80,2.617841547,106.3805078,6.814564523
2005,November,15,1,1,4,20,L15-20,6.496038677,148.0449929,9.483514365
2005,November,15,1,1,4,40,L15-40,5.305115409,129.0603385,8.267392523
2005,November,15,1,1,4,80,L15-80,2.816344354,118.5251622,7.592528619
2005,November,16,0,0,1,20,L16-20,5.655458515,152.6509168,9.778561325
2005,November,16,0,0,1,40,L16-40,5.409575795,139.3944147,8.929374324
2005,November,16,0,0,1,80,L16-80,2.191671865,105.422567,6.75320061
2005,November,17,0,0,1,20,L17-20,8.756144729,169.9929478,10.88945975
2005,November,17,0,0,1,40,L17-40,4.024422957,116.2372355,7.44596827
2005,November,17,0,0,1,80,L17-80,3.431784155,120.9491678,7.747805936
2005,November,18,1,1,4,20,L18-20,4.957704304,143.2086319,9.173706022
2005,November,18,1,1,4,40,L18-40,1.257953837,80.98648801,5.187870597
2005,November,18,1,1,4,80,L18-80,2.808889582,109.1153738,6.98975498
2005,November,19,1,0,3,20,L19-20,5.257673113,158.6045134,10.15993771
2005,November,19,1,0,3,40,L19-40,3.858047411,124.4260649,7.970529528
2005,November,19,1,0,3,80,L19-80,2.706019963,109.5483498,7.017490623
2005,November,20,0,1,2,20,L20-20,6.388615097,159.4789563,10.2159529
2005,November,20,0,1,2,40,L20-40,3.013568309,114.6490268,7.344230556
2005,November,20,0,1,2,80,L20-80,2.318091079,95.85314528,6.140201158
2005,October,1,1,1,4,20,L1-20,7.11955708,149.7774894,9.594494884
2005,October,1,1,1,4,40,L1-40,2.92386151,122.4354866,7.843016766
2005,October,1,1,1,4,80,L1-80,4.979101684,159.9219464,10.24433003
2005,October,2,0,0,1,20,L2-20,8.387772926,170.9158815,10.94858118
2005,October,2,0,0,1,40,L2-40,1.926668746,113.8992948,7.29620411
2005,October,2,0,0,1,80,L2-80,4.574422957,138.3648519,8.863422438
2005,October,3,1,0,3,20,L3-20,8.763568309,193.3303526,12.38441073
2005,October,3,1,0,3,40,L3-40,2.665814099,122.5141608,7.848056489
2005,October,3,1,0,3,80,L3-80,4.338303182,127.2222567,8.149648403
2005,October,4,0,1,2,20,L4-20,7.162195883,176.3062623,11.293879
2005,October,4,0,1,2,40,L4-40,2.85246413,120.7739633,7.736582659
2005,October,4,0,1,2,80,L4-80,5.744135995,160.0180536,10.25048648
2005,October,5,1,1,4,20,L5-20,6.741578291,161.6169252,10.35290724
2005,October,5,1,1,4,40,L5-40,4.933936369,128.3669676,8.222976463
2005,October,5,1,1,4,80,L5-80,3.078477854,99.0774048,6.346741258
2005,October,6,0,0,1,20,L6-20,5.486743606,153.8510014,9.855436526
2005,October,6,0,0,1,40,L6-40,3.619619464,141.145811,9.041565533
2005,October,6,0,0,1,80,L6-80,3.068808484,119.1783921,7.634373318
2005,October,7,0,0,1,20,L7-20,10.04831566,199.4940197,12.77924384
2005,October,7,0,0,1,40,L7-40,4.128883344,132.1353456,8.464371786
2005,October,7,0,0,1,80,L7-80,4.110823456,131.1009309,8.398109096
2005,October,8,1,0,3,20,L8-20,6.26768559,162.8984485,10.43499925
2005,October,8,1,0,3,40,L8-40,5.682657517,134.0965867,8.590005268
2005,October,8,1,0,3,80,L8-80,4.959076731,130.8714528,8.383409151
2005,October,9,1,0,3,20,L9-20,7.886774797,186.2897884,11.93340521
2005,October,9,1,0,3,40,L9-40,8.423237679,175.0260931,11.21187373
2005,October,9,1,0,3,80,L9-80,4.671553337,140.9661777,9.030058557
2005,October,10,0,1,2,20,L10-20,10.48948846,203.8800564,13.06020524
2005,October,10,0,1,2,40,L10-40,6.455926388,163.8896192,10.49849181
2005,October,10,0,1,2,80,L10-80,5.244354336,136.6337941,8.752534076
2005,October,11,0,1,2,20,L11-20,7.553056769,161.270945,10.33074439
2005,October,11,0,1,2,40,L11-40,5.392857143,146.3810719,9.376926663
2005,October,11,0,1,2,80,L11-80,5.036743606,142.1720169,9.107302386
2005,October,12,1,1,4,20,L12-20,6.291859014,172.1980818,11.03071655
2005,October,12,1,1,4,40,L12-40,7.431441048,165.7616643,10.61841156
2005,October,12,1,1,4,80,L12-80,5.361852776,144.67622,9.267717004
2005,October,13,1,0,3,20,L13-20,8.600873362,184.296756,11.80573524
2005,October,13,1,0,3,40,L13-40,4.732875858,135.5844852,8.68531729
2005,October,13,1,0,3,80,L13-80,4.275077979,137.6444006,8.817271658
2005,October,14,0,1,2,20,L14-20,5.869120399,156.9007898,10.05080033
2005,October,14,0,1,2,40,L14-40,1.218808484,106.4994358,6.822182835
2005,October,14,0,1,2,80,L14-80,4.228789769,134.8557687,8.638637059
2005,October,15,1,1,4,20,L15-20,6.532439177,161.3972355,10.33883432
2005,October,15,1,1,4,40,L15-40,6.147255147,146.5244288,9.386109837
2005,October,15,1,1,4,80,L15-80,3.859606987,129.4052186,8.289484905
2005,October,16,0,0,1,20,L16-20,6.321303805,174.0338787,11.14831431
2005,October,16,0,0,1,40,L16-40,4.630068621,126.7897884,8.121945286
2005,October,16,0,0,1,80,L16-80,3.52654398,132.1395769,8.464642836
2005,October,17,0,0,1,20,L17-20,10.01927636,201.1230465,12.88359628
2005,October,17,0,0,1,40,L17-40,5.276855895,137.9137377,8.834524894
2005,October,17,0,0,1,80,L17-80,4.057330006,133.8035825,8.571235959
2005,October,18,1,1,4,20,L18-20,5.147785402,164.8098731,10.55744157
2005,October,18,1,1,4,40,L18-40,1.860355583,90.52812412,5.799090154
2005,October,18,1,1,4,80,L18-80,3.407111666,121.549732,7.786276966
2005,October,19,1,0,3,20,L19-20,3.036150967,150.9899013,9.672159744
2005,October,19,1,0,3,40,L19-40,4.392888334,133.1183075,8.527338508
2005,October,19,1,0,3,80,L19-80,3.215003119,106.7216079,6.836414767
2005,October,20,0,1,2,20,L20-20,6.752526513,171.3604795,10.9770613
2005,October,20,0,1,2,40,L20-40,2.293792888,106.1182511,6.797764844
2005,October,20,0,1,2,80,L20-80,2.888739863,99.14315938,6.350953375
2005,August,1,1,1,4,20,L1-20,4.419681847,122.6184203,7.854735161
2005,August,1,1,1,4,40,L1-40,1.178165939,105.9460931,6.786736723
2005,August,1,1,1,4,80,L1-80,5.38250156,158.489732,10.15258503
2005,August,2,0,0,1,20,L2-20,2.777074236,103.8718195,6.653862592
2005,August,2,0,0,1,40,L2-40,0.409107923,106.8230465,6.842912739
2005,August,2,0,0,1,80,L2-80,4.495290081,138.7079831,8.885402786
2005,August,3,1,0,3,20,L3-20,2.763318777,107.9825106,6.91718586
2005,August,3,1,0,3,40,L3-40,1.342077355,105.0602821,6.729993309
2005,August,3,1,0,3,80,L3-80,3.52099189,117.1080113,7.501748553
2005,August,4,0,1,2,20,L4-20,2.839488459,109.1364739,6.991106616
2005,August,4,0,1,2,40,L4-40,2.331378665,115.787165,7.417137585
2005,August,4,0,1,2,80,L4-80,2.793636931,131.3948942,8.416939843
2005,August,5,1,1,4,20,L5-20,3.195726762,114.4752609,7.333099436
2005,August,5,1,1,4,40,L5-40,2.330848409,95.18307475,6.09727768
2005,August,5,1,1,4,80,L5-80,4.294510293,123.3353173,7.900658259
2005,August,6,0,0,1,20,L6-20,1.8724267,103.4814669,6.628857326
2005,August,6,0,0,1,40,L6-40,0.757704304,103.0430183,6.600771125
2005,August,6,0,0,1,80,L6-80,3.445945103,125.0968688,8.013499988
2005,August,7,0,0,1,20,L7-20,6.835059264,136.4151763,8.738529826
2005,August,7,0,0,1,40,L7-40,1.217966313,99.99176305,6.405313356
2005,August,7,0,0,1,80,L7-80,4.422239551,140.7615515,9.016950579
2005,August,8,1,0,3,20,L8-20,2.836712414,107.8027645,6.905671656
2005,August,8,1,0,3,40,L8-40,2.013693075,98.02538787,6.279351
2005,August,8,1,0,3,80,L8-80,4.829943855,125.5205924,8.040642935
2005,August,9,1,0,3,20,L9-20,3.426699938,119.5622003,7.65895936
2005,August,9,1,0,3,40,L9-40,3.333998752,115.9005924,7.424403532
2005,August,9,1,0,3,80,L9-80,5.219588272,145.3527504,9.311054285
2005,August,10,0,1,2,20,L10-20,5.22077355,120.3662623,7.710466088
2005,August,10,0,1,2,40,L10-40,2.517404866,NA,NA
2005,August,10,0,1,2,80,L10-80,4.346319401,108.0291961,6.920176445
2005,August,11,0,1,2,20,L11-20,6.172863381,137.3955148,8.801328497
2005,August,11,0,1,2,40,L11-40,2.485901435,108.4030183,6.944122809
2005,August,11,0,1,2,80,L11-80,5.443387399,143.2609591,9.177058007
2005,August,12,1,1,4,20,L12-20,2.898596382,117.9496192,7.555660398
2005,August,12,1,1,4,40,L12-40,3.280006238,111.7669676,7.159611173
2005,August,12,1,1,4,80,L12-80,4.895664379,134.9622003,8.64545487
2005,August,13,1,0,3,20,L13-20,5.363568309,133.8132299,8.571853953
2005,August,13,1,0,3,40,L13-40,1.248627573,104.12,6.669760578
2005,August,13,1,0,3,80,L13-80,-99,-99,-99
2005,August,14,0,1,2,20,L14-20,1.709918902,97.28039492,6.23162813
2005,August,14,0,1,2,40,L14-40,0.664036182,103.0440056,6.60083437
2005,August,14,0,1,2,80,L14-80,5.298845914,141.7937377,9.083070516
2005,August,15,1,1,4,20,L15-20,2.121147848,106.602708,6.828798262
2005,August,15,1,1,4,40,L15-40,2.154054897,104.5529196,6.697492607
2005,August,15,1,1,4,80,L15-80,-99,-99,-99
2005,August,16,0,0,1,20,L16-20,4.617404866,138.5085755,8.872629103
2005,August,16,0,0,1,40,L16-40,1.876887087,95.30626234,6.105168849
2005,August,16,0,0,1,80,L16-80,-99,-99,-99
2005,August,17,0,0,1,20,L17-20,6.290517779,137.3421157,8.797907846
2005,August,17,0,0,1,40,L17-40,2.652152215,103.4471086,6.6266564
2005,August,17,0,0,1,80,L17-80,-99,-99,-99
2005,August,18,1,1,4,20,L18-20,2.61419214,106.9537377,6.85128457
2005,August,18,1,1,4,40,L18-40,1.959856519,83.63449929,5.357497301
2005,August,18,1,1,4,80,L18-80,-99,-99,-99
2005,August,19,1,0,3,20,L19-20,1.440205864,108.6426516,6.959473274
2005,August,19,1,0,3,40,L19-40,2.911010605,87.06016925,5.576939381
2005,August,19,1,0,3,80,L19-80,-99,-99,-99
2005,August,20,0,1,2,20,L20-20,3.024173425,118.2393794,7.574221902
2005,August,20,0,1,2,40,L20-40,2.111852776,74.14696756,4.74974357
2005,August,20,0,1,2,80,L20-80,-99,-99,-99
2006,May,1,1,1,4,20,L1-20,6.270968644,118.5759485,7.595781897
2006,May,1,1,1,4,40,L1-40,5.655698592,141.8415426,9.08613281
2006,May,1,1,1,4,80,L1-80,2.832189364,121.4470529,7.779699531
2006,May,2,0,0,1,20,L2-20,5.383102893,122.2222294,7.829355903
2006,May,2,0,0,1,40,L2-40,4.091026219,124.9366441,8.00323629
2006,May,2,0,0,1,80,L2-80,2.811055754,129.7887517,8.314053324
2006,May,3,1,0,3,20,L3-20,5.219924999,114.6522856,7.344439311
2006,May,3,1,0,3,40,L3-40,4.508502828,134.720377,8.629964115
2006,May,3,1,0,3,80,L3-80,3.759247354,122.3988539,7.840670143
2006,May,4,0,1,2,20,L4-20,4.760743487,106.7860332,6.840541735
2006,May,4,0,1,2,40,L4-40,4.446170335,131.7067975,8.436919793
2006,May,4,0,1,2,80,L4-80,2.674691728,117.9630736,7.556522263
2006,May,5,1,1,4,20,L5-20,5.114027614,109.8299876,7.035531821
2006,May,5,1,1,4,40,L5-40,5.489718047,127.3123404,8.155418997
2006,May,5,1,1,4,80,L5-80,2.306858899,105.0825758,6.731421403
2006,May,6,0,0,1,20,L6-20,4.547361264,104.0042089,6.662343217
2006,May,6,0,0,1,40,L6-40,5.033215519,133.5437622,8.55459235
2006,May,6,0,0,1,80,L6-80,2.291660226,116.8708316,7.486555259
2006,May,7,0,0,1,20,L7-20,7.020039611,118.1260226,7.566960475
2006,May,7,0,0,1,40,L7-40,6.722584914,142.6329803,9.136830844
2006,May,7,0,0,1,80,L7-80,3.070941822,121.726128,7.797576564
2006,May,8,1,0,3,20,L8-20,5.88325923,107.8505647,6.908733654
2006,May,8,1,0,3,40,L8-40,6.977447087,142.7760506,9.145995667
2006,May,8,1,0,3,80,L8-80,3.382098973,86.76022056,5.557725222
2006,May,9,1,0,3,20,L9-20,6.180630148,115.6703108,7.409652118
2006,May,9,1,0,3,40,L9-40,7.440911698,150.4352288,9.636628451
2006,May,9,1,0,3,80,L9-80,3.939382569,129.3143676,8.283665154
2006,May,10,0,1,2,20,L10-20,6.782145837,116.1895108,7.442911109
2006,May,10,0,1,2,40,L10-40,7.225776665,143.6167672,9.199850418
2006,May,10,0,1,2,80,L10-80,3.681794182,118.9829073,7.621850926
2006,May,11,0,1,2,20,L11-20,6.045655767,117.2171518,7.508739894
2006,May,11,0,1,2,40,L11-40,6.000883898,142.1214926,9.104065889
2006,May,11,0,1,2,80,L11-80,3.944790488,126.9074916,8.129485132
2006,May,12,1,1,4,20,L12-20,6.257701433,112.7098849,7.220012711
2006,May,12,1,1,4,40,L12-40,7.072351645,147.1046927,9.423280469
2006,May,12,1,1,4,80,L12-80,5.075701212,140.9145624,9.026752176
2006,May,13,1,0,3,20,L13-20,5.962755013,117.1314743,7.503251547
2006,May,13,1,0,3,40,L13-40,6.233422741,146.5335272,9.386692665
2006,May,13,1,0,3,80,L13-80,4.360422023,116.0522717,7.434119826
2006,May,14,0,1,2,20,L14-20,4.400350492,107.1010272,6.860719665
2006,May,14,0,1,2,40,L14-40,4.637752206,122.7161422,7.860995042
2006,May,14,0,1,2,80,L14-80,2.019674944,116.8915013,7.487879325
2006,May,15,1,1,4,20,L15-20,5.57084155,119.3842658,7.647561204
2006,May,15,1,1,4,40,L15-40,5.434809806,132.6702196,8.498634827
2006,May,15,1,1,4,80,L15-80,3.458495282,124.3497027,7.965637906
2006,May,16,0,0,1,20,L16-20,5.624362998,109.8841609,7.039002062
2006,May,16,0,0,1,40,L16-40,5.78000769,143.9269126,9.219717754
2006,May,16,0,0,1,80,L16-80,3.436714985,118.6939388,7.603340138
2006,May,17,0,0,1,20,L17-20,5.510923738,106.3975906,6.815658821
2006,May,17,0,0,1,40,L17-40,6.272177547,145.8370978,9.342080684
2006,May,17,0,0,1,80,L17-80,4.881806799,118.9352511,7.618798157
2006,May,18,1,1,4,20,L18-20,4.585724808,101.1418557,6.478986163
2006,May,18,1,1,4,40,L18-40,3.876509669,126.9020846,8.129138772
2006,May,18,1,1,4,80,L18-80,2.579032458,106.1818562,6.801839272
2006,May,19,1,0,3,20,L19-20,4.635525313,100.9765789,6.468398838
2006,May,19,1,0,3,40,L19-40,3.706688028,120.2289536,7.701670342
2006,May,19,1,0,3,80,L19-80,2.880137631,104.471689,6.692289126
2006,May,20,0,1,2,20,L20-20,4.115235,99.3313975,6.363011561
2006,May,20,0,1,2,40,L20-40,5.72482034,136.7792113,8.761849232
2006,May,20,0,1,2,80,L20-80,2.172446792,92.79658866,5.944403796
2006,July,1,1,1,4,20,L1-20,3.974688085,104.5256869,6.695748129
2006,July,1,1,1,4,40,L1-40,5.765870243,140.0870832,8.97374539
2006,July,1,1,1,4,80,L1-80,2.579681847,122.2887842,7.833619282
2006,July,2,0,0,1,20,L2-20,5.331862133,144.6898082,9.268587436
2006,July,2,0,0,1,40,L2-40,4.34003743,135.6906319,8.69211685
2006,July,2,0,0,1,80,L2-80,2.42893325,124.5743075,7.980025674
2006,July,3,1,0,3,20,L3-20,6.180280724,136.9699746,8.774069179
2006,July,3,1,0,3,40,L3-40,4.178134747,132.0278195,8.457483863
2006,July,3,1,0,3,80,L3-80,3.458914535,114.9092807,7.360901938
2006,July,4,0,1,2,20,L4-20,5.713303182,150.5560592,9.644368626
2006,July,4,0,1,2,40,L4-40,4.92018403,145.5878336,9.326113281
2006,July,4,0,1,2,80,L4-80,2.626768559,124.2911594,7.961887731
2006,July,5,1,1,4,20,L5-20,5.094357455,143.5417236,9.195043259
2006,July,5,1,1,4,40,L5-40,5.500358702,128.7049619,8.244627756
2006,July,5,1,1,4,80,L5-80,2.28066126,108.7478702,6.966213384
2006,July,6,0,0,1,20,L6-20,7.695081098,154.1791566,9.876457538
2006,July,6,0,0,1,40,L6-40,5.236999376,137.7370268,8.823205123
2006,July,6,0,0,1,80,L6-80,2.528281347,123.3318054,7.900433288
2006,July,7,0,0,1,20,L7-20,7.510333749,153.7924683,9.851687001
2006,July,7,0,0,1,40,L7-40,7.48238927,154.547969,9.900082979
2006,July,7,0,0,1,80,L7-80,3.143976918,127.9647983,8.197214245
2006,July,8,1,0,3,20,L8-20,6.19536806,143.7754753,9.210016964
2006,July,8,1,0,3,40,L8-40,6.70356519,135.4371114,8.675876799
2006,July,8,1,0,3,80,L8-80,4.61371491,127.0221805,8.136831894
2006,July,9,1,0,3,20,L9-20,6.387872739,148.2610522,9.49735472
2006,July,9,1,0,3,40,L9-40,6.938805365,148.4774753,9.511218386
2006,July,9,1,0,3,80,L9-80,4.33231441,136.5917433,8.749840381
2006,July,10,0,1,2,20,L10-20,9.666600125,156.4944654,10.02477194
2006,July,10,0,1,2,40,L10-40,6.520910792,142.9418477,9.15661632
2006,July,10,0,1,2,80,L10-80,3.981684342,124.6882511,7.98732469
2006,July,11,0,1,2,20,L11-20,3.808034934,125.2236728,8.021622814
2006,July,11,0,1,2,40,L11-40,5.936634435,143.836519,9.213927312
2006,July,11,0,1,2,80,L11-80,3.271721772,127.8387362,8.189138942
2006,July,12,1,1,4,20,L12-20,6.317482845,133.303574,8.539206342
2006,July,12,1,1,4,40,L12-40,6.698615097,141.558031,9.067971585
2006,July,12,1,1,4,80,L12-80,4.800274485,140.35022,8.990601447
2006,July,13,1,0,3,20,L13-20,6.356668746,144.6026516,9.263004348
2006,July,13,1,0,3,40,L13-40,5.84643481,141.7816869,9.082298566
2006,July,13,1,0,3,80,L13-80,3.221122895,135.1156756,8.655286215
2006,July,14,0,1,2,20,L14-20,4.827729258,141.3597179,9.055268014
2006,July,14,0,1,2,40,L14-40,4.193477854,132.4085585,8.481873304
2006,July,14,0,1,2,80,L14-80,2.221703057,117.3344175,7.516251716
2006,July,15,1,1,4,20,L15-20,5.775467873,135.1429901,8.657035933
2006,July,15,1,1,4,40,L15-40,5.646768559,140.4855882,8.999272879
2006,July,15,1,1,4,80,L15-80,3.549703681,125.6205331,8.047044955
2006,July,16,0,0,1,20,L16-20,8.11790393,162.0376276,10.37985666
2006,July,16,0,0,1,40,L16-40,5.297386151,135.3818646,8.67233779
2006,July,16,0,0,1,80,L16-80,3.620798503,129.7498054,8.311558494
2006,July,17,0,0,1,20,L17-20,7.330904554,153.3153963,9.821126656
2006,July,17,0,0,1,40,L17-40,5.448758578,137.7195289,8.822084241
2006,July,17,0,0,1,80,L17-80,3.811235184,125.0126432,8.008104647
2006,July,18,1,1,4,20,L18-20,6.674912664,151.7564457,9.721263162
2006,July,18,1,1,4,40,L18-40,3.539819089,118.0998872,7.565286287
2006,July,18,1,1,4,80,L18-80,2.353034934,108.6837038,6.962103001
2006,July,19,1,0,3,20,L19-20,6.155704928,141.3018477,9.051560954
2006,July,19,1,0,3,40,L19-40,4.975935745,121.5536361,7.786527055
2006,July,19,1,0,3,80,L19-80,2.920938865,108.7490635,6.96628982
2006,July,20,0,1,2,20,L20-20,6.52246413,151.5799323,9.70995604
2006,July,20,0,1,2,40,L20-40,4.192223955,117.5393089,7.52937668
2006,July,20,0,1,2,80,L20-80,2.511603244,105.2858251,6.744441178
2006,September,1,1,1,4,20,L1-20,7.639644417,171.3051707,10.97351832
2006,September,1,1,1,4,40,L1-40,7.764139114,187.2330042,11.99382587
2006,September,1,1,1,4,80,L1-80,5.268116032,195.6074612,12.53027809
2006,September,2,0,0,1,20,L2-20,5.723399875,166.7457207,10.68144839
2006,September,2,0,0,1,40,L2-40,5.180127885,150.8865924,9.665541968
2006,September,2,0,0,1,80,L2-80,3.926840299,170.1789986,10.90137782
2006,September,3,1,0,3,20,L3-20,5.961671865,175.1176559,11.21773907
2006,September,3,1,0,3,40,L3-40,7.582888334,207.3229647,13.28075157
2006,September,3,1,0,3,80,L3-80,3.734950094,130.7644062,8.376551947
