year,month,day,transect,plot,species_code,total_biomass,fractional_cover,data_quality_flag,issue_comments,missing locations,corrected
2017,NA,NA,G1,13,SPPA,NA,0.625,,,,
2018,NA,NA,G1,13,SPPA,NA,0.875,,,,
2019,NA,NA,G1,13,SPPA,NA,0.875,,,,
2020,NA,NA,G1,13,SPPA,NA,0.625,,,,
2021,NA,NA,G1,13,SPPA,NA,0.875,,,,
2024,NA,NA,G1,13,SPPA,NA,0.375,,,,
2016,NA,NA,G1,14,SPPA,NA,0.625,,,,
2017,NA,NA,G1,14,SPPA,NA,0.625,,,,
2019,NA,NA,G1,14,SPPA,NA,0.375,,,,
2020,NA,NA,G1,14,SPPA,NA,0.15,,,,
2021,NA,NA,G1,14,SPPA,NA,0.375,,,,
2023,NA,NA,G1,14,SPPA,NA,0.15,,,,
2017,NA,NA,G1,15,SPPA,NA,0.375,,,,
2018,NA,NA,G1,15,SPPA,NA,0.875,,,,
2021,NA,NA,G1,15,SPPA,NA,0.625,,,,
2022,NA,NA,G1,15,SPPA,NA,0.15,,,,
2023,NA,NA,G1,15,SPPA,NA,0.03,,,,
2017,NA,NA,G1,16,SPPA,NA,0.875,,,,
2019,NA,NA,G1,16,SPPA,NA,0.625,,,,
2021,NA,NA,G1,16,SPPA,NA,0.375,,,,
2015,NA,NA,G1,17,SPPA,NA,0.005,,,,
2018,NA,NA,G1,17,SPPA,NA,0.005,,,,
2015,NA,NA,G1,18,SPPA,NA,0.005,,,,
2016,NA,NA,G1,18,SPPA,NA,0.005,,,,
2018,NA,NA,G1,18,SPPA,NA,0.005,,,,
2019,NA,NA,G1,18,SPPA,NA,0.005,,,,
2021,NA,NA,G1,18,SPPA,NA,0.005,,,,
2023,NA,NA,G1,18,SPPA,NA,0.005,,,,
2024,NA,NA,G1,18,SPPA,NA,0.005,,,,
2015,NA,NA,G1,19,SPPA,NA,0.375,,,,
2017,NA,NA,G1,19,SPPA,NA,0.005,,,,
2019,NA,NA,G1,19,SPPA,NA,0.375,,,,
2020,NA,NA,G1,19,SPPA,NA,0.005,,,,
2021,NA,NA,G1,19,SPPA,NA,0.03,,,,
2022,NA,NA,G1,19,SPPA,NA,0.15,,,,
2024,NA,NA,G1,19,SPPA,NA,0.03,,,,
2016,8,12,G2,11,PHAU,209.918339,NA,missing,missing in scans,,
2017,9,19,G2,11,PHAU,344.271071,0.625,incorrect,"missing in plant_species_cover, but shows up on all scans + some excel",shows up in scans and marsh comp excel. missing in raw data excel,Y
2019,9,12,G1,2,IVFR,1905.725062,NA,incorrect,explicitly marked on scans as absent,,
2019,9,12,G1,2,SCAM,3.347152,NA,incorrect,explicitly marked on scans as absent,,
2019,9,12,G1,19,SCAM,209.763752,NA,missing,missing in scans,,
2019,9,12,G2,5,SPPA,2114,NA,missing,missing in scans,,
2020,9,23,G1,11,SCAM,172.535252,NA,missing,missing in scans,,
2020,9,23,G1,15,SPPA,1014,NA,missing,missing in scans,,
2020,9,25,G2,3,SCAM,0.469668,NA,missing,missing in scans,,
2021,9,30,G1,3,IVFR,2684.90393,NA,missing,missing in scans,,
2022,9,26,G1,3,IVFR,2380.181971,0.625,incorrect,"missing in plant_species_cover, but shows up on all scans + no excel",,Y
2022,9,26,G2,7,PHAU,32.062344,NA,incorrect,explicitly marked on scans as absent,,
2018,10,2,G1,7,SCAM,74.218,NA,incorrect,explicitly marked on scans as absent,,
