year,month,day,transect,plot,species_code,family,genus,species,plant_count,area,duplicate_flag,high_abundance_method,plant_count_notes
2015,10,15,R3,4,ATPA,NA,Atriplex,patula,5,1,NA,NA,NA
2015,10,15,R3,5,PHAU,NA,Phragmites,australis,32,1,NA,NA,NA
2015,10,15,R3,5,AMCA,NA,Amaranthus,cannabinus,1,1,NA,NA,NA
2015,10,15,R3,5,POHY,NA,Polygonum,hydropiperoides,1,1,NA,NA,NA
2015,10,15,R3,5,SCAM,NA,Schoenoplectus,americanus,6,1,NA,NA,NA
2015,10,15,R3,5,SYTE,NA,Symphyotrichum,tenuifolium,5,1,NA,NA,NA
2015,10,16,S2,1,SOSE,NA,Solidago,sempervirens,1,1,NA,NA,NA
2015,10,16,S2,1,IVFR,NA,Iva,frutescens,4,1,NA,NA,NA
2015,10,16,S2,2,SOSE,NA,Solidago,sempervirens,13,1,NA,NA,NA
2015,10,16,S2,2,SYTE,NA,Symphyotrichum,tenuifolium,6,1,NA,NA,NA
2015,10,16,S2,2,IVFR,NA,Iva,frutescens,4,1,NA,NA,NA
2015,10,16,S2,3,KOVI,NA,Kosteletzkya ,virginica,1,1,NA,NA,NA
2015,10,16,S2,3,SCAM,NA,Schoenoplectus,americanus,3,1,NA,NA,NA
2015,10,16,S2,3,IVFR,NA,Iva,frutescens,3,1,NA,NA,NA
2015,10,16,S2,4,SCAM,NA,Schoenoplectus,americanus,49,1,NA,NA,NA
2015,10,16,S2,4,SOSE,NA,Solidago,sempervirens,5,1,NA,NA,NA
2015,10,16,S2,4,IVFR,NA,Iva,frutescens,1,1,NA,NA,NA
2015,10,16,S2,5,SCAM,NA,Schoenoplectus,americanus,25,1,NA,NA,NA
2015,10,16,S2,5,IVFR,NA,Iva,frutescens,3,1,NA,NA,NA
2015,10,16,S2,6,PLOD,NA,Pluchea,odorata,3,1,NA,NA,NA
2015,10,16,S2,6,POHY,NA,Polygonum,hydropiperoides,1,1,NA,NA,NA
2015,10,16,S2,6,SCAM,NA,Schoenoplectus,americanus,59,1,NA,NA,NA
2015,10,16,S2,6,SPCY,NA,Spartina,cynosuroides,2,1,NA,NA,NA
2015,10,16,S2,6,TYAN,NA,Typha,angustifolia,3,1,NA,NA,NA
2015,10,16,S3,1,AMCA,NA,Amaranthus,cannabinus,5,1,NA,NA,NA
2015,10,16,S3,1,SCRO,NA,Schoenoplectus,robustus,6,1,NA,NA,NA
2015,10,16,S3,1,SPAL,NA,Spartina,alterniflora,89,1,NA,NA,NA
2015,10,16,S3,1,IVFR,NA,Iva,frutescens,2,1,NA,NA,NA
2015,10,16,S3,2,AMCA,NA,Amaranthus,cannabinus,1,1,NA,NA,NA
2015,10,16,S3,2,SCAM,NA,Schoenoplectus,americanus,31,1,NA,NA,NA
2015,10,16,S3,2,IVFR,NA,Iva,frutescens,4,1,NA,NA,NA
2015,10,16,S3,3,ATPA,NA,Atriplex,patula,2,1,NA,NA,NA
2015,10,16,S3,3,SOSE,NA,Solidago,sempervirens,21,1,NA,NA,NA
2015,10,16,S3,3,IVFR,NA,Iva,frutescens,4,1,NA,NA,NA
2015,10,16,S3,4,AMCA,NA,Amaranthus,cannabinus,8,1,NA,NA,NA
2015,10,16,S3,4,ATPA,NA,Atriplex,patula,4,1,NA,NA,NA
2015,10,16,S3,4,SCAM,NA,Schoenoplectus,americanus,9,1,NA,NA,NA
2015,10,16,S3,4,IVFR,NA,Iva,frutescens,2,1,NA,NA,NA
2015,10,16,S3,5,AMCA,NA,Amaranthus,cannabinus,2,1,NA,NA,NA
2015,10,16,S3,5,SCAM,NA,Schoenoplectus,americanus,18,1,NA,NA,NA
2015,10,16,S3,5,SCRO,NA,Schoenoplectus,robustus,6,1,NA,NA,NA
2015,10,16,S3,5,SPAL,NA,Spartina,alterniflora,3,1,NA,NA,NA
2015,10,21,G3,1,PHAU,NA,Phragmites,australis,13,1,NA,NA,NA
2015,10,21,G3,1,AMCA,NA,Amaranthus,cannabinus,1,1,NA,NA,NA
2015,10,21,G3,1,SPAL,NA,Spartina,alterniflora,5,1,NA,NA,NA
2015,10,21,G3,1,SPCY,NA,Spartina,cynosuroides,21,1,NA,NA,NA
2015,10,21,G3,1,IVFR,NA,Iva,frutescens,2,1,NA,NA,NA
2015,10,21,G3,2,PHAU,NA,Phragmites,australis,69,1,NA,NA,NA
2015,10,21,G3,2,KOVI,NA,Kosteletzkya ,virginica,3,1,NA,NA,NA
2015,10,21,G3,3,PHAU,NA,Phragmites,australis,1,1,NA,NA,NA
2015,10,21,G3,3,SOSE,NA,Solidago,sempervirens,6,1,NA,NA,NA
2015,10,21,G3,3,IVFR,NA,Iva,frutescens,3,1,NA,NA,NA
2015,10,21,G3,4,PHAU,NA,Phragmites,australis,1,1,NA,NA,NA
2015,10,21,G3,4,SOSE,NA,Solidago,sempervirens,9,1,NA,NA,NA
2015,10,21,G3,5,PHAU,NA,Phragmites,australis,7,1,NA,NA,NA
2015,10,21,G3,5,ATPA,NA,Atriplex,patula,3,1,NA,NA,NA
2015,10,21,G3,5,KOVI,NA,Kosteletzkya ,virginica,135,1,NA,NA,NA
2015,10,21,G3,5,PADI,NA,Panicum,dichotomoflorum,30,1,NA,NA,NA
2015,10,21,G3,5,SPCY,NA,Spartina,cynosuroides,2,1,NA,NA,NA
2015,10,21,G3,6,SPCY,NA,Spartina,cynosuroides,9,1,NA,NA,NA
2015,10,22,G1,1,AMCA,NA,Amaranthus,cannabinus,22,1,NA,NA,NA
2015,10,22,G1,1,SPCY,NA,Spartina,cynosuroides,57,1,NA,NA,NA
2015,10,22,G1,1,SYTE,NA,Symphyotrichum,tenuifolium,5,1,NA,NA,NA
2015,10,22,G1,1,IVFR,NA,Iva,frutescens,3,1,NA,NA,NA
2015,10,22,G1,2,SOSE,NA,Solidago,sempervirens,4,1,NA,NA,NA
2015,10,22,G1,2,IVFR,NA,Iva,frutescens,6,1,NA,NA,NA
2015,10,22,G1,3,SOSE,NA,Solidago,sempervirens,7,1,NA,NA,NA
2015,10,22,G1,5,IVFR,NA,Iva,frutescens,1,1,NA,NA,NA
2015,10,22,G1,6,SCAM,NA,Schoenoplectus,americanus,51,1,NA,NA,NA
2015,10,22,G1,7,SCAM,NA,Schoenoplectus,americanus,34,1,NA,NA,NA
2015,10,22,G1,7,IVFR,NA,Iva,frutescens,1,1,NA,NA,NA
2015,10,22,G1,8,PADI,NA,Panicum,dichotomoflorum,9,1,NA,NA,NA
2015,10,22,G1,8,SCAM,NA,Schoenoplectus,americanus,35,1,NA,NA,NA
2015,10,22,G1,8,IVFR,NA,Iva,frutescens,2,1,NA,NA,NA
2015,10,22,G1,9,SOSE,NA,Solidago,sempervirens,1,1,NA,NA,NA
2015,10,22,G1,10,AMCA,NA,Amaranthus,cannabinus,17,1,NA,NA,NA
2015,10,22,G1,10,SPCY,NA,Spartina,cynosuroides,11,1,NA,NA,NA
2015,10,22,G1,11,AMCA,NA,Amaranthus,cannabinus,1,1,NA,NA,NA
2015,10,22,G1,11,SCAM,NA,Schoenoplectus,americanus,54,1,NA,NA,NA
2015,10,22,G1,11,IVFR,NA,Iva,frutescens,3,1,NA,NA,NA
2015,10,22,G1,12,SCAM,NA,Schoenoplectus,americanus,29,1,NA,NA,NA
2015,10,22,G1,12,IVFR,NA,Iva,frutescens,2,1,NA,NA,NA
2015,10,22,G1,13,SCAM,NA,Schoenoplectus,americanus,3,1,NA,NA,NA
2015,10,22,G1,13,IVFR,NA,Iva,frutescens,1,1,NA,NA,NA
2015,10,22,G1,14,SCAM,NA,Schoenoplectus,americanus,44,1,NA,NA,NA
2015,10,22,G1,14,IVFR,NA,Iva,frutescens,2,1,NA,NA,NA
2015,10,22,G1,15,SCAM,NA,Schoenoplectus,americanus,52,1,NA,NA,NA
2015,10,22,G1,15,IVFR,NA,Iva,frutescens,1,1,NA,NA,NA
2015,10,22,G1,16,SCAM,NA,Schoenoplectus,americanus,54,1,NA,NA,NA
2015,10,22,G1,16,IVFR,NA,Iva,frutescens,1,1,NA,NA,NA
2015,10,22,G1,17,SCAM,NA,Schoenoplectus,americanus,44,1,NA,NA,NA
2015,10,22,G1,18,SCAM,NA,Schoenoplectus,americanus,38,1,NA,NA,NA
2015,10,22,G1,19,SCAM,NA,Schoenoplectus,americanus,45,1,NA,NA,NA
2015,10,22,G1,20,TYAN,NA,Typha,angustifolia,19,1,NA,NA,NA
2015,10,23,G2,1,PHAU,NA,Phragmites,australis,9,1,NA,NA,NA
2015,10,23,G2,1,KOVI,NA,Kosteletzkya ,virginica,2,1,NA,NA,NA
2015,10,23,G2,1,SPCY,NA,Spartina,cynosuroides,1,1,NA,NA,NA
2015,10,23,G2,2,PHAU,NA,Phragmites,australis,28,1,NA,NA,NA
2015,10,23,G2,3,PHAU,NA,Phragmites,australis,32,1,NA,NA,NA
2015,10,23,G2,4,PHAU,NA,Phragmites,australis,28,1,NA,NA,NA
2015,10,23,G2,5,PHAU,NA,Phragmites,australis,35,1,NA,NA,NA
2015,10,23,G2,5,IVFR,NA,Iva,frutescens,1,1,NA,NA,NA
2015,10,23,G2,6,PHAU,NA,Phragmites,australis,5,1,NA,NA,NA
2015,10,23,G2,6,AMCA,NA,Amaranthus,cannabinus,6,1,NA,NA,NA
2015,10,23,G2,6,KOVI,NA,Kosteletzkya ,virginica,1,1,NA,NA,NA
2015,10,23,G2,6,SCAM,NA,Schoenoplectus,americanus,2,1,NA,NA,NA
2015,10,23,G2,6,SCRO,NA,Schoenoplectus,robustus,6,1,NA,NA,NA
2015,10,23,G2,6,SPAL,NA,Spartina,alterniflora,10,1,NA,NA,NA
2015,10,23,G2,6,IVFR,NA,Iva,frutescens,2,1,NA,NA,NA
2015,10,23,G2,7,PHAU,NA,Phragmites,australis,0,1,NA,NA,NA
2015,10,23,G2,7,SCAM,NA,Schoenoplectus,americanus,74,1,NA,NA,NA
2015,10,23,G2,7,IVFR,NA,Iva,frutescens,2,1,NA,NA,NA
2015,10,23,G2,8,PHAU,NA,Phragmites,australis,0,1,NA,NA,NA
2015,10,23,G2,8,SCAM,NA,Schoenoplectus,americanus,53,1,NA,NA,NA
2015,10,23,G2,8,SOSE,NA,Solidago,sempervirens,1,1,NA,NA,NA
2015,10,23,G2,8,IVFR,NA,Iva,frutescens,2,1,NA,NA,NA
2015,10,23,G2,9,PHAU,NA,Phragmites,australis,0,1,NA,NA,NA
2015,10,23,G2,9,SCAM,NA,Schoenoplectus,americanus,66,1,NA,NA,NA
2015,10,23,G2,9,SOSE,NA,Solidago,sempervirens,8,1,NA,NA,NA
2015,10,23,G2,10,PHAU,NA,Phragmites,australis,14,1,NA,NA,NA
2015,10,23,G2,10,ATPA,NA,Atriplex,patula,1,1,NA,NA,NA
2015,10,23,G2,10,SCAM,NA,Schoenoplectus,americanus,22,1,NA,NA,NA
2015,10,23,G2,10,SPCY,NA,Spartina,cynosuroides,4,1,NA,NA,NA
2015,10,23,G2,10,TYAN,NA,Typha,angustifolia,4,1,NA,NA,NA
2015,10,23,G2,11,PHAU,NA,Phragmites,australis,12,1,NA,NA,NA
2015,10,23,G2,11,SMRO,NA,Smilax,rotundifolia,1,1,NA,NA,NA
2015,10,26,S1,1,SMRO,NA,Smilax,rotundifolia,24,1,NA,NA,NA
2015,10,26,S1,1,IVFR,NA,Iva,frutescens,4,1,NA,NA,NA
2015,10,26,S1,2,SOSE,NA,Solidago,sempervirens,2,1,NA,NA,NA
2015,10,26,S1,2,UNKGRASS,Poaceae,NA,NA,4,1,NA,NA,NA
2015,10,26,S1,3,SOSE,NA,Solidago,sempervirens,1,1,NA,NA,NA
2015,10,26,S1,3,SYTE,NA,Symphyotrichum,tenuifolium,1,1,NA,NA,NA
2015,10,26,S1,3,IVFR,NA,Iva,frutescens,3,1,NA,NA,NA
2015,10,26,S1,4,SOSE,NA,Solidago,sempervirens,9,1,NA,NA,NA
2015,10,26,S1,4,IVFR,NA,Iva,frutescens,2,1,NA,NA,NA
2015,10,26,S1,5,PHAU,NA,Phragmites,australis,2,1,NA,NA,NA
2015,10,26,S1,5,PADI,NA,Panicum,dichotomoflorum,4,1,NA,NA,NA
2015,10,26,S1,5,BAHA,NA,Baccharis,halimifolia,1,1,NA,NA,NA
2015,10,26,S1,5,IVFR,NA,Iva,frutescens,1,1,NA,NA,NA
2015,10,26,S1,5,JUVI,NA,﻿Juniperus,virginiana,1,1,NA,NA,NA
2015,10,26,S1,6,PHAU,NA,Phragmites,australis,15,1,NA,NA,NA
2015,10,26,S1,6,HYUM,NA,Hydrocotyle,umbellata,11,1,NA,NA,NA
2016,8,9,G1,1,AMCA,NA,Amaranthus,cannabinus,4,1,NA,NA,NA
2016,8,9,G1,1,ATPA,NA,Atriplex,patula,2,1,NA,NA,NA
2016,8,9,G1,1,SCRO,NA,Schoenoplectus,robustus,7,1,NA,NA,NA
2016,8,9,G1,1,SPAL,NA,Spartina,alterniflora,12,1,NA,NA,NA
2016,8,9,G1,1,SPCY,NA,Spartina,cynosuroides,43,1,NA,NA,NA
2016,8,9,G1,1,SYTE,NA,Symphyotrichum,tenuifolium,5,1,NA,NA,NA
2016,8,9,G1,2,KOVI,NA,Kosteletzkya ,virginica,4,1,NA,NA,NA
2016,8,9,G1,2,SOSE,NA,Solidago,sempervirens,83,1,NA,NA,NA
2016,8,9,G1,2,IVFR,NA,Iva,frutescens,5,1,NA,NA,NA
2016,8,9,G1,3,SOSE,NA,Solidago,sempervirens,11,1,NA,NA,NA
2016,8,9,G1,6,SCAM,NA,Schoenoplectus,americanus,93,1,NA,NA,NA
2016,8,9,G1,7,KOVI,NA,Kosteletzkya ,virginica,3,1,NA,NA,NA
2016,8,9,G1,7,SCAM,NA,Schoenoplectus,americanus,42,1,NA,NA,NA
2016,8,9,G1,7,IVFR,NA,Iva,frutescens,1,1,NA,NA,NA
2016,8,9,G1,8,LICA,NA,Limonium,carolinianum,6,1,NA,NA,NA
2016,8,9,G1,8,PADI,NA,Panicum,dichotomoflorum,9,1,NA,NA,NA
2016,8,9,G1,8,SCAM,NA,Schoenoplectus,americanus,49,1,NA,NA,NA
2016,8,9,G1,8,IVFR,NA,Iva,frutescens,3,1,NA,NA,NA
2016,8,9,G1,9,SOSE,NA,Solidago,sempervirens,3,1,NA,NA,NA
2016,8,9,G1,10,AMCA,NA,Amaranthus,cannabinus,3,1,NA,NA,NA
2016,8,9,G1,10,IVFR,NA,Iva,frutescens,5,1,NA,NA,NA
2016,8,9,G1,10,KOVI,NA,Kosteletzkya ,virginica,30,1,NA,NA,NA
2016,8,9,G1,10,SCRO,NA,Schoenoplectus,robustus,4,1,NA,NA,NA
2016,8,9,G1,10,SPAL,NA,Spartina,alterniflora,6,1,NA,NA,NA
2016,8,9,G1,10,SPCY,NA,Spartina,cynosuroides,21,1,NA,NA,NA
2016,8,9,G1,11,SCAM,NA,Schoenoplectus,americanus,66,1,NA,NA,NA
2016,8,9,G1,11,IVFR,NA,Iva,frutescens,2,1,NA,NA,NA
2016,8,9,G1,12,SCAM,NA,Schoenoplectus,americanus,81,1,NA,NA,NA
2016,8,9,G1,13,SCAM,NA,Schoenoplectus,americanus,16,1,NA,NA,NA
2016,8,9,G1,13,IVFR,NA,Iva,frutescens,1,1,NA,NA,NA
2016,8,9,G1,14,AMCA,NA,Amaranthus,cannabinus,1,1,NA,NA,NA
2016,8,9,G1,14,ATPA,NA,Atriplex,patula,1,1,NA,NA,NA
2016,8,9,G1,14,SCAM,NA,Schoenoplectus,americanus,62,1,NA,NA,NA
2016,8,9,G1,14,IVFR,NA,Iva,frutescens,1,1,NA,NA,NA
2016,8,9,G1,15,ATPA,NA,Atriplex,patula,13,1,NA,NA,NA
2016,8,9,G1,15,SCAM,NA,Schoenoplectus,americanus,136,1,NA,NA,NA
2016,8,9,G1,15,IVFR,NA,Iva,frutescens,1,1,NA,NA,NA
2016,8,9,G1,16,AMCA,NA,Amaranthus,cannabinus,1,1,NA,NA,NA
2016,8,9,G1,16,SCAM,NA,Schoenoplectus,americanus,98,1,NA,NA,NA
2016,8,9,G1,17,SCAM,NA,Schoenoplectus,americanus,290,1,NA,NA,NA
2016,8,9,G1,18,SCAM,NA,Schoenoplectus,americanus,275,1,NA,NA,NA
2016,8,9,G1,19,SCAM,NA,Schoenoplectus,americanus,185,1,NA,NA,NA
2016,8,9,G1,20,AMCA,NA,Amaranthus,cannabinus,3,1,NA,NA,NA
2016,8,9,G1,20,PLOD,NA,Pluchea,odorata,2,1,NA,NA,NA
2016,8,9,G1,20,SCRO,NA,Schoenoplectus,robustus,2,1,NA,NA,NA
2016,8,9,G1,20,TYAN,NA,Typha,angustifolia,36,1,NA,NA,NA
2016,8,10,R1,1,AMCA,NA,Amaranthus,cannabinus,3,1,NA,NA,NA
2016,8,10,R1,1,SCRO,NA,Schoenoplectus,robustus,9,1,NA,NA,NA
2016,8,10,R1,1,SPAL,NA,Spartina,alterniflora,132,1,NA,NA,NA
2016,8,10,R1,1,SYTE,NA,Symphyotrichum,tenuifolium,10,1,NA,NA,NA
2016,8,10,R1,2,AMCA,NA,Amaranthus,cannabinus,1,1,NA,NA,NA
2016,8,10,R1,2,SCRO,NA,Schoenoplectus,robustus,25,1,NA,NA,NA
2016,8,10,R1,2,SPAL,NA,Spartina,alterniflora,94,1,NA,NA,NA
2016,8,10,R1,2,TYAN,NA,Typha,angustifolia,2,1,NA,NA,NA
2016,8,10,R1,3,AMCA,NA,Amaranthus,cannabinus,2,1,NA,NA,NA
2016,8,10,R1,3,PLOD,NA,Pluchea,odorata,21,1,NA,NA,NA
2016,8,10,R1,3,SCRO,NA,Schoenoplectus,robustus,17,1,NA,NA,NA
2016,8,10,R1,3,SPAL,NA,Spartina,alterniflora,67,1,NA,NA,NA
2016,8,10,R1,3,TYAN,NA,Typha,angustifolia,2,1,NA,NA,NA
2016,8,10,R1,4,HIMO,NA,Hibiscus,moscheutos,4,1,NA,NA,NA
2016,8,10,R1,4,SCAM,NA,Schoenoplectus,americanus,4,1,NA,NA,NA
2016,8,10,R1,4,TYAN,NA,Typha,angustifolia,15,1,NA,NA,NA
2016,8,10,R1,4,IVFR,NA,Iva,frutescens,1,1,NA,NA,NA
2016,8,10,R1,5,HIMO,NA,Hibiscus,moscheutos,9,1,NA,NA,NA
2016,8,10,R1,5,PEVI,NA,Peltandra,virginica,14,1,NA,NA,NA
2016,8,10,R2,1,PHAU,NA,Phragmites,australis,60,1,NA,NA,NA
2016,8,10,R2,1,AMCA,NA,Amaranthus,cannabinus,1,1,NA,NA,NA
2016,8,10,R2,1,SCRO,NA,Schoenoplectus,robustus,6,1,NA,NA,NA
2016,8,10,R2,1,SPAL,NA,Spartina,alterniflora,2,1,NA,NA,NA
2016,8,10,R2,2,PHAU,NA,Phragmites,australis,33,1,NA,NA,NA
2016,8,10,R2,2,AMCA,NA,Amaranthus,cannabinus,3,1,NA,NA,NA
2016,8,10,R2,2,PLOD,NA,Pluchea,odorata,6,1,NA,NA,NA
2016,8,10,R2,3,PHAU,NA,Phragmites,australis,34,1,NA,NA,NA
2016,8,10,R2,3,AMCA,NA,Amaranthus,cannabinus,13,1,NA,NA,NA
2016,8,10,R2,3,SPAL,NA,Spartina,alterniflora,53,1,NA,NA,NA
2016,8,10,R2,3,IVFR,NA,Iva,frutescens,1,1,NA,NA,NA
2016,8,10,R2,4,PHAU,NA,Phragmites,australis,37,1,NA,NA,NA
2016,8,10,R2,4,AMCA,NA,Amaranthus,cannabinus,2,1,NA,NA,NA
2016,8,10,R2,4,PLOD,NA,Pluchea,odorata,1,1,NA,NA,NA
2016,8,10,R2,4,SPAL,NA,Spartina,alterniflora,17,1,NA,NA,NA
2016,8,10,R2,5,PHAU,NA,Phragmites,australis,40,1,NA,NA,NA
2016,8,10,R2,5,HIMO,NA,Hibiscus,moscheutos,4,1,NA,NA,NA
2016,8,10,R3,1,PHAU,NA,Phragmites,australis,6,1,NA,NA,NA
2016,8,10,R3,1,SCRO,NA,Schoenoplectus,robustus,7,1,NA,NA,NA
2016,8,10,R3,1,SPAL,NA,Spartina,alterniflora,67,1,NA,NA,NA
2016,8,10,R3,2,PHAU,NA,Phragmites,australis,16,1,NA,NA,NA
2016,8,10,R3,2,AMCA,NA,Amaranthus,cannabinus,6,1,NA,NA,NA
2016,8,10,R3,2,HIMO,NA,Hibiscus,moscheutos,22,1,NA,NA,NA
2016,8,10,R3,2,SCRO,NA,Schoenoplectus,robustus,3,1,NA,NA,NA
2016,8,10,R3,3,PHAU,NA,Phragmites,australis,53,1,NA,NA,NA
2016,8,10,R3,3,AMCA,NA,Amaranthus,cannabinus,13,1,NA,NA,NA
2016,8,10,R3,3,HIMO,NA,Hibiscus,moscheutos,3,1,NA,NA,NA
2016,8,10,R3,3,KOVI,NA,Kosteletzkya ,virginica,5,1,NA,NA,NA
2016,8,10,R3,3,PLOD,NA,Pluchea,odorata,14,1,NA,NA,NA
2016,8,10,R3,4,PHAU,NA,Phragmites,australis,59,1,NA,NA,NA
2016,8,10,R3,4,AMCA,NA,Amaranthus,cannabinus,31,1,NA,NA,NA
2016,8,10,R3,4,ATPA,NA,Atriplex,patula,2,1,NA,NA,NA
2016,8,10,R3,4,HIMO,NA,Hibiscus,moscheutos,6,1,NA,NA,NA
2016,8,10,R3,4,KOVI,NA,Kosteletzkya ,virginica,3,1,NA,NA,NA
2016,8,10,R3,4,PLOD,NA,Pluchea,odorata,16,1,NA,NA,NA
2016,8,10,R3,5,PHAU,NA,Phragmites,australis,16,1,NA,NA,NA
2016,8,10,R3,5,AMCA,NA,Amaranthus,cannabinus,9,1,NA,NA,NA
2016,8,10,R3,5,HIMO,NA,Hibiscus,moscheutos,5,1,NA,NA,NA
2016,8,10,R3,5,KOVI,NA,Kosteletzkya ,virginica,4,1,NA,NA,NA
2016,8,10,R3,5,PLOD,NA,Pluchea,odorata,6,1,NA,NA,NA
2016,8,10,R3,5,SCAM,NA,Schoenoplectus,americanus,20,1,NA,NA,NA
2016,8,10,R3,5,SOSE,NA,Solidago,sempervirens,2,1,NA,NA,NA
2016,8,10,S1,3,SOSE,NA,Solidago,sempervirens,8,1,NA,NA,NA
2016,8,10,S1,3,IVFR,NA,Iva,frutescens,3,1,NA,NA,NA
2016,8,10,S1,4,SOSE,NA,Solidago,sempervirens,6,1,NA,NA,NA
2016,8,10,S1,4,IVFR,NA,Iva,frutescens,2,1,NA,NA,NA
2016,8,10,S1,5,PHAU,NA,Phragmites,australis,8,1,NA,NA,NA
2016,8,10,S1,5,BAHA,NA,Baccharis,halimifolia,1,1,NA,NA,NA
2016,8,10,S1,5,IVFR,NA,Iva,frutescens,1,1,NA,NA,NA
2016,8,10,S1,5,JUVI,NA,﻿Juniperus,virginiana,1,1,NA,NA,NA
2016,8,10,S1,6,PHAU,NA,Phragmites,australis,11,1,NA,NA,NA
2016,8,10,S2,1,KOVI,NA,Kosteletzkya ,virginica,2,1,NA,NA,NA
2016,8,10,S2,1,SOSE,NA,Solidago,sempervirens,2,1,NA,NA,NA
2016,8,10,S2,1,IVFR,NA,Iva,frutescens,2,1,NA,NA,NA
2016,8,10,S2,2,SOSE,NA,Solidago,sempervirens,16,1,NA,NA,NA
2016,8,10,S2,2,IVFR,NA,Iva,frutescens,3,1,NA,NA,NA
2016,8,10,S2,3,KOVI,NA,Kosteletzkya ,virginica,2,1,NA,NA,NA
2016,8,10,S2,3,SCAM,NA,Schoenoplectus,americanus,26,1,NA,NA,NA
2016,8,10,S2,3,IVFR,NA,Iva,frutescens,1,1,NA,NA,NA
2016,8,10,S2,4,SCAM,NA,Schoenoplectus,americanus,86,1,NA,NA,NA
2016,8,10,S2,4,SOSE,NA,Solidago,sempervirens,13,1,NA,NA,NA
